MONGODB MANUAL 4.0
Source: https://docs.mongodb.com/manual/reference/bson-types/

Type 	            Number      Alias
Double 	                 1 	    “double”
String 	                 2 	    “string”
Object 	                 3 	    “object”
Array 	                 4 	    “array”
Binary data 	         5 	    “binData”
ObjectId 	             7 	    “objectId”
Boolean 	             8 	    “bool”
Date 	                 9	    “date”
Null 	                10 	    “null”
Regular Expression      11 	    “regex”
JavaScript 	            13 	    “javascript”
JavaScript (with scope) 15 	    “javascriptWithScope”
32-bit integer 	        16 	    “int”
Timestamp 	            17 	    “timestamp”
64-bit integer 	        18 	    “long”
Decimal128 	            19 	    “decimal”
Min key 	            -1 	    “minKey”
Max key 	           127 	    “maxKey” 	 

NOTE: I omitted the deprecated types.
